08 Apr 2025 | 17:14:12,053 | DEBUG | application-akka.actor.default-dispatcher-25 | sd.cmd.Cmd | null | -> PlayReq 0_6_11 707853412,3397376,707845403 : {"c":15,"t":4,"u":1,"i":4}
08 Apr 2025 | 17:14:18,661 | DEBUG | application-akka.actor.default-dispatcher-22 | sd.SD | null | <- PlayReq  707853412  {"c":0,"t":0,"u":2,"i":5}
08 Apr 2025 | 17:14:18,661 | DEBUG | application-akka.actor.default-dispatcher-28 | sd.cmd.Cmd | null | -> ButtonControlCmd 707853412 : {"a":5,"d":{"a":{"s":1,"t":0},"b":{"s":0,"t":0},"c":{"s":1,"t":0},"d":{"s":0,"t":0},"t":{"s":0,"t":0},"u":{"s":1,"t":12000},"o":{"s":1,"t":0}}}
08 Apr 2025 | 17:14:18,661 | DEBUG | application-akka.actor.default-dispatcher-24 | board.fsm.BoardFSM | null | 0_6_11 707853412 play 2:0:0
08 Apr 2025 | 17:14:18,661 | DEBUG | application-akka.actor.default-dispatcher-28 | sd.cmd.Cmd | null | -> PlayReq 0_6_11 707853412,3397376,707845403 : {"c":0,"t":0,"u":2,"i":5}
08 Apr 2025 | 17:14:23,298 | DEBUG | application-akka.actor.default-dispatcher-16 | sd.SD | null | <- PlayReq  707853412  {"c":0,"t":3,"u":2,"i":6}
08 Apr 2025 | 17:14:23,298 | DEBUG | application-akka.actor.default-dispatcher-10 | sd.cmd.Cmd | null | -> ButtonControlCmd 707853412 : {"a":6,"d":{"a":{"s":0,"t":0},"b":{"s":0,"t":0},"c":{"s":0,"t":0},"d":{"s":0,"t":0},"t":{"s":0,"t":0},"u":{"s":0,"t":0},"o":{"s":0,"t":0}}}
08 Apr 2025 | 17:14:23,298 | DEBUG | application-akka.actor.default-dispatcher-6 | board.fsm.BoardFSM | null | 0_6_11 707853412 play 2:3:0
08 Apr 2025 | 17:14:23,298 | DEBUG | application-akka.actor.default-dispatcher-10 | sd.cmd.Cmd | null | -> PlayReq 0_6_11 707853412,3397376,707845403 : {"c":0,"t":3,"u":2,"i":6}
08 Apr 2025 | 17:14:24,829 | DEBUG | application-akka.actor.default-dispatcher-19 | sd.cmd.Cmd | null | -> ButtonControlCmd 707853412 : {"a":7,"d":{}}
08 Apr 2025 | 17:14:24,830 | DEBUG | application-akka.actor.default-dispatcher-19 | sd.cmd.Cmd | null | -> PlayReq 0_6_11 707853412,3397376,707845403 : {"c":0,"t":1,"u":0,"i":7}
08 Apr 2025 | 17:14:26,421 | DEBUG | application-akka.actor.default-dispatcher-20 | sd.cmd.Cmd | null | -> ButtonControlCmd 707853412 : {"a":8,"d":{"c":{"s":1,"t":0},"u":{"s":1,"t":12000}}}
08 Apr 2025 | 17:14:26,422 | DEBUG | application-akka.actor.default-dispatcher-20 | sd.cmd.Cmd | null | -> PlayReq 0_6_11 707853412,3397376,707845403 : {"c":8,"t":4,"u":0,"i":8}
